
2022/04/28 (11:41:20) | ===> btop++ v.1.2.6
2022/04/28 (13:12:40) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:13:31) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:13:44) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:14:09) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:14:35) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:15:19) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:15:48) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:16:12) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:16:34) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:17:17) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:17:28) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:17:46) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:18:23) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:18:52) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:19:42) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:20:01) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:20:26) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:20:39) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:20:50) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:21:22) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:21:43) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:22:33) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:23:05) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:23:18) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:23:37) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:23:49) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:24:26) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:24:42) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:24:52) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:25:07) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:25:16) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:25:59) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:26:14) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:27:00) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:27:55) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:28:08) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:28:40) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:28:57) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:29:14) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:29:35) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:30:08) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:30:44) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:31:15) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:31:28) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:32:06) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:32:44) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:32:51) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:33:16) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:33:26) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:33:53) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:34:02) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:34:24) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:34:38) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:35:01) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:35:25) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:35:57) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:36:17) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:36:28) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:36:36) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:36:48) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:37:12) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:37:30) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:38:00) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:38:09) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:38:41) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:38:51) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:39:25) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:39:38) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:41:36) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:42:35) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:43:18) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:43:27) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:43:45) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:45:01) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:45:52) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:46:17) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:46:58) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:47:22) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:50:02) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:50:10) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:50:52) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:51:09) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:51:36) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:51:58) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:52:12) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:52:35) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:53:06) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:53:39) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:53:55) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:54:04) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:54:41) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:54:49) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:55:09) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:55:47) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:56:05) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:56:15) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:56:54) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:57:21) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:57:43) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:58:19) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:58:30) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:58:53) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:59:15) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:59:41) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (13:59:53) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:00:00) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:00:17) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:00:24) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:00:42) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:01:13) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:01:24) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:01:31) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:01:42) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:02:01) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:02:21) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:02:45) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:02:56) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:03:15) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:03:31) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:03:52) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:04:11) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:07:11) | ERROR: Stall in Runner thread, restarting!
2022/04/28 (14:07:22) | ERROR: Stall in Runner thread, restarting!

2022/05/03 (15:52:36) | ===> btop++ v.1.2.6
2022/05/03 (15:52:36) | ERROR: Stall in Runner thread, restarting!
2022/05/03 (15:52:45) | ERROR: Stall in Runner thread, restarting!

2022/05/06 (23:13:18) | ===> btop++ v.1.2.6
2022/05/06 (23:13:21) | ERROR: Stall in Runner thread, restarting!

2022/05/13 (19:58:41) | ===> btop++ v.1.2.6
2022/05/13 (19:58:41) | INFO: Logger set to INFO
2022/05/16 (01:05:16) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:05:30) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:05:40) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:05:59) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:06:17) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:06:39) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:06:56) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:07:31) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:08:02) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:08:27) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:08:40) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:08:54) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:09:09) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:09:18) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:09:31) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:09:50) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:10:04) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:10:12) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:10:46) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:11:10) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:11:23) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:11:55) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:12:15) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:12:35) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (01:12:55) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (12:22:34) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (12:22:47) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (12:23:57) | ERROR: Stall in Runner thread, restarting!
2022/05/16 (12:24:38) | ERROR: Stall in Runner thread, restarting!
